,name,team,age,min,pts,fgm,threepm,ftm,oreb,dreb,reb,ast,stl,blk,gp,wg,lg,winrate,year,dist_miles,dist_off,dist_def,avg_speed,avg_speed_off,avg_speed_def
0,AJ Price,MIN,27,3.5,1.6,0.7,0.2,0.0,0.0,0.3,0.4,0.5,0.0,0.0,28,15,13,0.5357142857142857,2013,0.26,0.14,0.11,4.37,4.62,3.96
1,Aaron Brooks,DEN,29,21.6,9.0,3.2,1.3,1.2,0.6,1.3,1.9,3.2,0.7,0.2,72,42,30,0.5833333333333334,2013,1.52,0.77,0.75,4.23,4.49,3.99
2,Adonis Thomas,PHI,21,6.3,2.3,1.0,0.2,0.2,0.0,0.5,0.5,0.5,0.0,0.0,6,2,4,0.3333333333333333,2013,0.48,0.25,0.23,4.64,5.21,4.16
3,Al Horford,ATL,28,33.0,18.6,8.2,0.1,2.0,2.3,6.1,8.4,2.6,0.9,1.5,29,16,13,0.5517241379310345,2013,2.24,1.15,1.08,4.08,4.43,3.78
4,Al Jefferson,CHA,29,35.0,21.8,9.6,0.0,2.6,2.1,8.7,10.8,2.1,0.9,1.1,73,38,35,0.5205479452054794,2013,2.21,1.17,1.04,3.81,3.92,3.68
5,Al-Farouq Aminu,NOP,23,25.6,7.2,2.9,0.2,1.1,1.6,4.6,6.2,1.4,1.0,0.5,80,33,47,0.4125,2013,1.88,1.01,0.87,4.43,4.75,4.1
6,Alan Anderson,BKN,31,22.7,7.2,2.5,1.1,1.2,0.5,1.7,2.2,1.0,0.6,0.1,78,43,35,0.5512820512820513,2013,1.52,0.78,0.74,4.04,4.1,3.99
7,Alec Burks,UTA,22,28.1,14.0,4.9,0.6,3.6,0.8,2.5,3.3,2.7,0.9,0.2,78,24,54,0.3076923076923077,2013,2.01,1.1,0.91,4.3,4.5,4.09
8,Alex Len,PHX,21,8.6,2.0,0.8,0.0,0.5,0.9,1.4,2.4,0.1,0.1,0.4,42,24,18,0.5714285714285714,2013,0.62,0.34,0.29,4.35,4.62,4.07
9,Alexey Shved,MIN,25,10.5,4.0,1.2,0.5,1.1,0.3,1.0,1.3,1.1,0.4,0.3,63,28,35,0.4444444444444444,2013,0.76,0.41,0.35,4.35,4.63,4.07
10,Alexis Ajinca,NOP,26,17.0,5.9,2.4,0.0,1.0,1.7,3.3,4.9,0.7,0.4,0.8,56,22,34,0.3928571428571429,2013,1.2,0.66,0.54,4.26,4.53,3.99
11,Allen Crabbe,POR,22,6.7,2.2,0.8,0.4,0.2,0.1,0.5,0.6,0.4,0.1,0.1,15,12,3,0.8,2013,0.47,0.25,0.21,4.21,4.46,3.94
12,Alonzo Gee,CLE,27,15.7,4.0,1.5,0.3,0.7,0.5,1.8,2.3,0.7,0.6,0.2,65,29,36,0.4461538461538462,2013,1.19,0.62,0.57,4.56,4.82,4.31
13,Amar'e Stoudemire,NYK,31,22.6,11.9,4.8,0.0,2.3,1.7,3.2,4.9,0.5,0.4,0.6,65,26,39,0.4,2013,1.46,0.76,0.7,3.9,3.92,3.88
14,Anderson Varejao,CLE,31,27.7,8.4,3.5,0.0,1.4,2.9,6.8,9.7,2.2,1.1,0.6,65,25,40,0.38461538461538464,2013,2.04,1.06,0.97,4.41,4.63,4.19
15,Andre Drummond,DET,20,32.3,13.5,5.9,0.0,1.7,5.4,7.8,13.2,0.4,1.2,1.6,81,29,52,0.3580246913580247,2013,2.22,1.16,1.07,4.14,4.29,3.98
16,Andre Iguodala,GSW,30,32.4,9.3,3.5,1.0,1.4,0.8,3.8,4.7,4.2,1.5,0.3,63,41,22,0.6507936507936508,2013,2.24,1.14,1.1,4.2,4.54,3.89
17,Andre Roberson,OKC,22,10.0,1.9,0.8,0.1,0.2,0.9,1.5,2.4,0.4,0.5,0.3,40,30,10,0.75,2013,0.77,0.37,0.4,4.64,4.74,4.54
18,Andrea Bargnani,NYK,28,29.9,13.3,5.3,0.7,2.0,1.6,3.6,5.3,1.1,0.3,1.2,42,15,27,0.35714285714285715,2013,1.89,1.0,0.89,3.81,3.88,3.73
19,Andrew Bogut,GSW,29,26.4,7.3,3.5,0.0,0.3,2.7,7.3,10.0,1.7,0.7,1.8,67,40,27,0.5970149253731343,2013,1.72,0.9,0.82,3.93,4.33,3.56
20,Andrew Bynum,IND,26,19.8,8.7,3.6,0.0,1.4,2.0,3.5,5.6,1.1,0.2,1.1,26,11,15,0.4230769230769231,2013,1.21,0.64,0.57,3.72,3.78,3.64
21,Andrew Nicholson,ORL,24,15.4,5.7,2.4,0.4,0.6,0.7,2.7,3.4,0.3,0.2,0.3,76,19,57,0.25,2013,1.07,0.57,0.51,4.19,4.41,3.97
22,Andris Biedrins,UTA,28,7.4,0.5,0.2,0.0,0.2,0.3,2.5,2.8,0.0,0.0,0.0,6,0,6,0.0,2013,0.51,0.28,0.23,4.17,4.71,3.66
23,Antawn Jamison,LAC,38,11.3,3.8,1.3,0.4,0.8,0.4,2.1,2.5,0.3,0.4,0.1,22,15,7,0.6818181818181818,2013,0.83,0.44,0.4,4.45,4.93,4.01
24,Anthony Bennett,CLE,21,12.7,4.2,1.5,0.3,0.8,0.9,2.0,3.0,0.3,0.4,0.2,52,20,32,0.38461538461538464,2013,0.92,0.49,0.43,4.33,4.78,3.91
25,Anthony Davis,NOP,21,35.2,20.8,7.8,0.0,5.2,3.1,7.0,10.0,1.6,1.3,2.8,67,29,38,0.4328358208955224,2013,2.42,1.28,1.14,4.13,4.36,3.91
26,Anthony Morrow,NOP,28,18.8,8.4,3.1,1.2,0.9,0.4,1.5,1.8,0.8,0.5,0.2,76,32,44,0.42105263157894735,2013,1.3,0.7,0.6,4.15,4.36,3.93
27,Anthony Randolph,DEN,24,12.3,4.8,1.6,0.4,1.2,0.5,2.4,2.8,0.7,0.6,0.4,43,15,28,0.3488372093023256,2013,0.86,0.45,0.41,4.22,4.63,3.85
28,Anthony Tolliver,CHA,29,20.3,6.1,2.0,1.6,0.5,0.5,2.1,2.6,0.7,0.3,0.2,64,33,31,0.515625,2013,1.45,0.8,0.65,4.3,4.61,3.96
29,Arinze Onuaku,CLE,26,6.0,0.6,0.2,0.0,0.2,0.4,1.2,1.6,0.6,0.0,0.0,5,2,3,0.4,2013,0.42,0.22,0.2,4.18,4.72,3.72
30,Arnett Moultrie,PHI,23,15.6,3.0,1.3,0.0,0.3,0.9,2.0,2.9,0.2,0.7,0.3,12,0,12,0.0,2013,1.13,0.59,0.54,4.36,4.83,3.95
31,Aron Baynes,SAS,27,9.3,3.0,1.3,0.0,0.4,1.1,1.7,2.7,0.6,0.0,0.1,53,41,12,0.7735849056603774,2013,0.66,0.36,0.3,4.3,4.63,3.97
32,Arron Afflalo,ORL,28,35.0,18.2,6.4,1.8,3.8,0.4,3.2,3.6,3.4,0.5,0.0,73,21,52,0.2876712328767123,2013,2.43,1.33,1.09,4.18,4.51,3.84
33,Austin Daye,SAS,26,6.7,3.0,1.1,0.5,0.3,0.2,1.0,1.2,0.4,0.2,0.2,22,16,6,0.7272727272727273,2013,0.48,0.26,0.21,4.26,4.4,4.01
34,Austin Rivers,NOP,21,19.4,7.7,2.8,0.5,1.6,0.4,1.5,1.9,2.3,0.7,0.1,69,27,42,0.39130434782608703,2013,1.36,0.76,0.6,4.21,4.58,3.82
35,Avery Bradley,BOS,23,30.9,14.9,6.0,1.3,1.5,0.8,3.0,3.8,1.4,1.1,0.2,60,19,41,0.31666666666666665,2013,2.26,1.18,1.08,4.39,4.58,4.2
36,Ben Gordon,CHA,31,14.7,5.2,1.9,0.4,0.9,0.2,1.3,1.4,1.1,0.5,0.1,19,8,11,0.42105263157894735,2013,1.04,0.56,0.48,4.27,4.7,3.85
37,Beno Udrih,MEM,31,15.7,4.9,1.9,0.5,0.6,0.2,1.2,1.4,2.8,0.6,0.1,41,18,23,0.4390243902439024,2013,1.17,0.65,0.51,4.47,4.84,4.08
38,Bernard James,DAL,29,4.9,0.9,0.4,0.0,0.2,0.5,0.9,1.4,0.1,0.1,0.3,30,17,13,0.5666666666666667,2013,0.34,0.18,0.17,4.24,4.27,4.21
39,Blake Griffin,LAC,25,35.8,24.1,9.0,0.2,6.0,2.4,7.1,9.5,3.9,1.2,0.6,80,56,24,0.7,2013,2.36,1.2,1.15,3.96,4.24,3.7
40,Boris Diaw,SAS,32,25.0,9.1,3.8,0.6,0.9,0.9,3.2,4.1,2.8,0.6,0.4,79,60,19,0.7594936708860759,2013,1.79,0.98,0.81,4.3,4.79,3.83
41,Brandan Wright,DAL,26,18.6,9.1,3.9,0.0,1.3,1.8,2.4,4.2,0.5,0.6,0.9,58,36,22,0.6206896551724138,2013,1.25,0.64,0.61,4.03,4.05,4.01
42,Brandon Bass,BOS,29,27.6,11.1,4.3,0.0,2.5,2.0,3.8,5.7,1.1,0.4,0.9,82,25,57,0.3048780487804878,2013,1.86,0.99,0.87,4.04,4.23,3.84
43,Brandon Davies,PHI,22,11.3,2.8,1.1,0.0,0.7,0.7,1.4,2.1,0.5,0.5,0.2,51,15,36,0.29411764705882354,2013,0.86,0.44,0.42,4.61,4.97,4.27
44,Brandon Jennings,DET,24,34.1,15.5,5.3,1.9,3.0,0.7,2.3,3.1,7.6,1.3,0.1,80,28,52,0.35,2013,2.43,1.33,1.11,4.29,4.69,3.89
45,Brandon Knight,MIL,22,33.3,17.9,6.4,1.5,3.6,0.6,2.9,3.5,4.9,1.0,0.2,72,13,59,0.18055555555555555,2013,2.39,1.32,1.07,4.31,4.75,3.87
46,Brandon Rush,UTA,28,11.0,2.1,0.8,0.4,0.1,0.1,1.0,1.2,0.6,0.1,0.2,38,13,25,0.34210526315789475,2013,0.77,0.43,0.34,4.22,4.41,4.02
47,Brook Lopez,BKN,26,31.4,20.7,7.6,0.0,5.5,2.3,3.7,6.0,0.9,0.5,1.8,17,7,10,0.4117647058823529,2013,2.0,1.02,0.98,3.83,3.91,3.73
48,Byron Mullens,PHI,25,9.2,4.2,1.6,0.7,0.2,0.5,1.5,2.0,0.3,0.3,0.2,45,16,29,0.3555555555555556,2013,0.64,0.33,0.3,4.16,4.53,3.82
49,C.J. Watson,IND,30,18.9,6.6,2.3,0.8,1.1,0.3,1.3,1.6,1.7,1.0,0.1,63,48,15,0.7619047619047619,2013,1.38,0.74,0.64,4.37,4.66,4.08
50,CJ McCollum,POR,22,12.5,5.3,1.9,0.8,0.6,0.2,1.1,1.3,0.7,0.4,0.1,38,21,17,0.5526315789473685,2013,0.94,0.51,0.43,4.5,4.89,4.1
51,CJ Miles,CLE,27,19.3,9.9,3.5,1.6,1.3,0.4,1.7,2.0,1.0,0.9,0.3,51,21,30,0.4117647058823529,2013,1.36,0.73,0.63,4.25,4.58,3.92
52,Carl Landry,SAC,30,12.9,4.2,1.7,0.0,0.8,0.8,2.3,3.2,0.3,0.2,0.1,18,5,13,0.2777777777777778,2013,0.88,0.48,0.4,4.08,4.21,3.93
53,Carlos Boozer,CHI,32,28.2,13.7,5.9,0.0,1.9,1.8,6.5,8.3,1.6,0.7,0.3,76,43,33,0.5657894736842105,2013,1.75,0.93,0.82,3.75,3.87,3.61
54,Carmelo Anthony,NYK,30,38.7,27.4,9.6,2.2,6.0,1.9,6.2,8.1,3.1,1.2,0.7,77,35,42,0.4545454545454545,2013,2.42,1.28,1.14,3.76,3.87,3.65
55,Caron Butler,OKC,34,25.3,10.5,3.8,1.8,1.1,0.4,3.7,4.1,1.5,0.8,0.3,56,21,35,0.375,2013,1.63,0.85,0.77,3.85,4.0,3.71
56,Carrick Felix,CLE,23,5.4,2.7,1.0,0.3,0.4,0.1,0.7,0.9,0.6,0.0,0.0,7,2,5,0.2857142857142857,2013,0.42,0.21,0.21,4.72,5.34,4.23
57,Cartier Martin,ATL,29,14.7,5.6,1.9,1.0,0.8,0.2,1.6,1.9,0.6,0.5,0.1,59,27,32,0.4576271186440678,2013,1.06,0.56,0.5,4.36,4.68,4.05
